Country,Maternal mortality ratio deaths per 100000 live births 1990,Maternal mortality ratio deaths per 100000 live births 2015,"GDP per capita international-$ 1990","GDP per capita international-$ 2015","Total population (Gapminder, HYDE & UN)1990","Total population (Gapminder, HYDE & UN) 2015"
Afghanistan,1340,396,,"$1,809",12.41 million,34.41 million
Albania,71,29,"$4,723","$10,970",3.29 million,2.89 million
Algeria,216,140,"$10,237","$13,725",25.76 million,39.73 million
Angola,1160,477,"$3,431","$6,228",11.85 million,27.88 million
Argentina,72,52,"$10,816","$19,117",32.62 million,43.08 million
Armenia,58,25,"$3,742","$8,196",3.54 million,2.93 million
Australia,8,6,"$28,658","$43,923",16.96 million,23.93 million
Austria,8,4,"$31,342","$44,305",7.72 million,8.68 million
Azerbaijan,64,25,"$8,513","$16,699",7.24 million,9.62 million
Bahrain,26,15,"$35,113","$43,926","496,000.00",1.37 million
Bangladesh,569,176,"$1,288","$3,133",103.17 million,156.26 million
Belarus,33,4,"$8,354","$17,230",10.15 million,9.44 million
Belgium,9,7,"$30,648","$41,708",10.01 million,11.29 million
Benin,576,405,"$1,463","$1,987",4.98 million,10.58 million
Bolivia,425,206,"$3,707","$6,532",6.87 million,10.87 million
Bosnia and Herzegovina,28,11,"$1,471","$10,932",4.46 million,3.43 million
Botswana,243,129,"$8,110","$15,357",1.29 million,2.12 million
Brazil,104,44,"$10,345","$14,703",149.00 million,204.47 million
Bulgaria,25,11,"$9,297","$17,000",8.84 million,7.20 million
Burkina Faso,727,371,$844,"$1,596",8.81 million,18.11 million
Burundi,1220,712,"$1,087",$748,5.44 million,10.16 million
Cambodia,1020,161,"$1,638","$3,291",8.98 million,15.52 million
Cameroon,728,596,"$3,020","$3,289",11.78 million,23.30 million
Canada,7,7,"$31,300","$43,149",27.54 million,36.03 million
Caribbean small states,94,99,"$9,388","$14,865",,
Central African Republic,1290,882,$925,$622,2.81 million,4.49 million
Chad,1450,856,"$1,110","$2,067",5.96 million,14.11 million
Chile,57,22,"$8,992","$22,517",13.28 million,17.97 million
China,97,27,"$1,526","$13,570",1.18 billion,1.41 billion
Colombia,118,64,"$7,534","$12,985",33.10 million,47.52 million
Congo,603,442,"$5,140","$5,543",2.36 million,4.86 million
Costa Rica,43,25,"$7,787","$14,739",3.12 million,4.85 million
Cote d'Ivoire,745,645,"$3,194","$3,242",11.93 million,23.23 million
Croatia,10,8,"$12,624","$20,984",4.78 million,4.23 million
Cuba,58,39,,,10.60 million,11.32 million
Cyprus,16,7,"$23,301","$30,549","767,000.00",1.16 million
Czechia,14,4,"$20,023","$30,605",10.34 million,10.60 million
Democratic Republic of Congo,879,693,"$1,387",$812,34.61 million,76.25 million
Denmark,11,6,"$33,786","$45,459",5.14 million,5.69 million
Dominican Republic,198,92,"$5,477","$13,396",7.13 million,10.28 million
Ecuador,185,64,"$7,472","$10,749",10.23 million,16.21 million
Egypt,106,33,"$5,909","$10,096",56.13 million,92.44 million
El Salvador,157,54,"$4,545","$7,020",5.27 million,6.33 million
Equatorial Guinea,1310,342,"$1,000","$27,554","419,000.00",1.17 million
Eritrea,1590,501,"$1,111","$1,510",2.26 million,3.34 million
Estonia,42,9,"$11,362","$27,550",1.56 million,1.31 million
Eswatini,635,389,"$5,378","$7,758","822,000.00",1.10 million
Ethiopia,1250,353,$652,"$1,533",47.89 million,100.83 million
Finland,6,3,"$28,906","$38,942",5.00 million,5.48 million
France,15,8,"$29,515","$37,766",56.67 million,64.45 million
Gabon,422,291,"$19,501","$16,837","949,000.00",1.95 million
Gambia,1030,706,"$1,506","$1,568","956,000.00",2.09 million
Georgia,34,36,"$8,007","$9,025",5.41 million,4.02 million
Germany,11,6,"$31,287","$43,938",79.05 million,81.79 million
Ghana,634,319,"$1,920","$3,927",14.77 million,27.85 million
Greece,5,3,"$20,686","$24,170",10.23 million,10.66 million
Guatemala,205,88,"$5,101","$7,293",9.26 million,16.25 million
Guinea,1040,679,"$1,412","$1,758",6.35 million,11.43 million
Guinea-Bissau,907,549,"$1,574","$1,446","975,000.00",1.74 million
Haiti,625,359,,"$1,651",7.04 million,10.70 million
Honduras,272,129,"$3,172","$4,319",4.96 million,9.11 million
Hong Kong,,,"$26,974","$53,592",5.73 million,7.19 million
Hungary,24,17,"$15,148","$25,034",10.38 million,9.78 million
