time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-24T14:32:03.660Z,38.0938,-117.5212,6.2,2.2,ml,12,301.36,0.196,0.08,nn,nn00786058,2020-11-24T15:02:38.035Z,"25 km W of Tonopah, Nevada",earthquake,,10.7,,,automatic,nn,nn
2020-11-24T14:29:48.800Z,38.8030014,-122.7723312,0.76,0.4,md,10,76,0.01014,0.03,nc,nc73486661,2020-11-24T14:44:05.559Z,"3km NNW of The Geysers, CA",earthquake,0.3,0.72,0.16,2,automatic,nc,nc
2020-11-24T14:29:38.517Z,60.5632,-151.5756,58.2,2,ml,,,,0.69,ak,ak020f4cbjti,2020-11-24T14:32:49.625Z,"15 km WSW of Salamatof, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-24T14:28:38.100Z,38.175,-117.8722,6.6,1.2,ml,13,108.7,0.015,0.09,nn,nn00786056,2020-11-24T14:33:18.030Z,"31 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-24T14:07:34.177Z,-22.1977,-176.0981,57.45,5.3,mb,,83,6.56,0.8,us,us6000crzj,2020-11-24T14:37:05.040Z,"146 km SW of Vaini, Tonga",earthquake,10,6,0.065,78,reviewed,us,us
2020-11-24T13:58:11.986Z,61.6273,-149.8253,42.9,2.7,ml,,,,0.71,ak,ak020f4bw9rb,2020-11-24T14:39:11.040Z,"0 km SW of Houston, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-24T13:51:04.390Z,38.796833,-122.7493362,1.01,1.3,md,22,95,0.02948,0.03,nc,nc73486656,2020-11-24T14:09:06.378Z,"2km NNE of The Geysers, CA",earthquake,0.23,0.5,0.08,7,automatic,nc,nc
2020-11-24T13:43:48.680Z,19.1940002441406,-155.454498291016,35.1300010681152,2.02999997,md,46,123,,0.119999997,hv,hv72242962,2020-11-24T13:47:03.130Z,"2 km ESE of Pāhala, Hawaii",earthquake,0.56,0.74000001,1.64999998,18,automatic,hv,hv
2020-11-24T13:37:20.970Z,38.8344994,-122.8171692,1.16,0.89,md,9,78,0.0124,0.01,nc,nc73486651,2020-11-24T13:59:04.325Z,"8km NW of The Geysers, CA",earthquake,0.34,1.23,,1,automatic,nc,nc
2020-11-24T13:33:29.467Z,59.8789,-151.7111,67.7,2.2,ml,,,,0.37,ak,ak020f4bqy8p,2020-11-24T13:45:04.101Z,"7 km S of Happy Valley, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-11-24T13:21:18.340Z,38.164,-117.9793,10.4,1.1,ml,8,158.05,0.102,0.05,nn,nn00786054,2020-11-24T13:37:16.803Z,"27 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-11-24T13:06:21.210Z,38.8248329,-122.8095016,1.29,0.56,md,13,53,0.001504,0.01,nc,nc73486636,2020-11-24T14:23:04.451Z,"7km NW of The Geysers, CA",earthquake,0.26,0.66,,1,automatic,nc,nc
2020-11-24T13:00:23.070Z,38.8251648,-122.8098297,1.1,0.56,md,9,93,0.001777,0.01,nc,nc73486626,2020-11-24T13:33:07.175Z,"7km NW of The Geysers, CA",earthquake,0.26,0.65,,1,automatic,nc,nc
2020-11-24T12:59:56.640Z,17.951,-67.0085,5,1.59,md,3,333,0.0402,0.1,pr,pr2020329004,2020-11-24T13:37:58.752Z,"Puerto Rico region",earthquake,1.13,0.74,0.09,3,reviewed,pr,pr
2020-11-24T12:50:40.410Z,38.1642,-117.9777,10.2,1.3,ml,12,105.71,0.023,0.05,nn,nn00786050,2020-11-24T13:23:18.321Z,"27 km SSE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-11-24T12:30:22.640Z,37.2598,-117.5912,13.2,0.9,ml,10,109.93,0.057,0.1,nn,nn00786047,2020-11-24T12:33:36.529Z,"55 km S of Silver Peak, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-11-24T12:26:44.210Z,38.1705,-118.2232,23.4,1,ml,9,115.82,0.109,0.01,nn,nn00786046,2020-11-24T12:31:57.156Z,"26 km SSW of Mina, Nevada",earthquake,,2.5,,,automatic,nn,nn
2020-11-24T12:21:45.430Z,38.1262,-117.7783,13.3,1,ml,13,100.81,0.027,0.02,nn,nn00786044,2020-11-24T12:28:57.569Z,"41 km SE of Mina, Nevada",earthquake,,3.2,,,automatic,nn,nn
2020-11-24T12:17:20.820Z,33.9990005,-116.6991653,16.02,1.77,ml,81,27,0.058,0.17,ci,ci39475799,2020-11-24T12:28:40.180Z,"12km WSW of Morongo Valley, CA",earthquake,0.18,0.51,0.325,26,automatic,ci,ci
