Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,633601048,8128.7801309336965,1922285,24.661941711295743,191731,6596542,84.63028858890023,5140,0.06594359337770409,615,
United States of America,Americas,96752266,29230.058,0,0,0,1064975,321.742,0,0,0
India,South-East Asia,44667967,3236.799,3157,0.229,656,530553,38.446,33,0.002,7
France,Europe,36200221,55658.945,181395,278.9,32756,154487,237.528,415,0.638,84
Germany,Europe,36180077,43503.075,162348,195.208,19725,156410,188.068,92,0.111,30
Brazil,Americas,34938073,16436.85,60514,28.469,14946,688764,324.034,197,0.093,62
Republic of Korea,Western Pacific,26462319,51614.472,370780,723.202,49418,29925,58.368,354,0.69,63
The United Kingdom,Europe,23977637,35320.442,19000,27.988,1749,196241,289.074,236,0.348,0
Italy,Europe,23823192,39943.993,0,0,0,179985,301.778,0,0,0
Japan,Western Pacific,23519801,18596.188,563564,445.588,0,47959,37.919,623,0.493,0
Russian Federation,Europe,21525567,14750.16,36493,25.006,5546,391333,268.157,431,0.295,60
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13551539,28630.447,0,0,0,115357,243.716,0,0,0
Viet Nam,Western Pacific,11509975,11824.68,2435,2.502,0,43167,44.347,1,0.001,0
Australia,Western Pacific,10456663,41006.708,0,0,0,15068,59.09,0,0,0
Argentina,Americas,9721718,21510.237,1486,3.288,0,130011,287.662,8,0.018,0
China,Western Pacific,9420476,640.288,161789,10.996,24683,29592,2.011,480,0.033,89
Netherlands,Europe,8531447,49009.94,3898,22.393,0,22886,131.471,16,0.092,0
Iran (Islamic Republic of),Eastern Mediterranean,7559001,8999.566,239,0.285,0,144613,172.173,6,0.007,0
Mexico,Americas,7118933,5521.431,1121,0.869,0,330444,256.292,7,0.005,0
Indonesia,South-East Asia,6596812,2411.789,46364,16.951,6699,159323,58.248,288,0.105,32
Poland,Europe,6348380,16724.688,2225,5.862,358,118267,311.572,57,0.15,15
Colombia,Americas,6312657,12406.247,2325,4.569,1298,141881,278.838,31,0.061,19
Portugal,Europe,5529977,53710.43,0,0,0,25305,245.777,0,0,0
Austria,Europe,5506697,61865.604,25405,285.415,4344,21124,237.32,35,0.393,1
Ukraine,Europe,5329536,12186.32,0,0,0,110403,252.443,0,0,0
Greece,Europe,5306482,49507.392,56194,524.268,0,34024,317.431,136,1.269,0
Malaysia,Western Pacific,4960179,15325.277,19723,60.937,3457,36583,113.029,61,0.188,9
Chile,Americas,4859241,25419.491,40242,210.513,6904,62102,324.866,179,0.936,50
Israel,Europe,4703249,54338.013,8470,97.856,1378,11810,136.444,11,0.127,0
Thailand,South-East Asia,4698373,6731.196,3166,4.536,0,33037,47.331,42,0.06,0
Belgium,Europe,4627186,40158.039,3518,30.532,2,33021,286.58,38,0.33,0
Canada,Americas,4377070,11597.298,18819,49.862,0,47118,124.842,309,0.819,0
Switzerland,Europe,4276839,49416.843,9003,104.025,0,13692,158.205,4,0.046,0
Peru,Americas,4177786,12670.765,12599,38.211,2403,217212,658.78,83,0.252,9
Czechia,Europe,4167377,38969.523,2746,25.678,76,41746,390.371,34,0.318,0
South Africa,Africa,4036165,6805.352,4541,7.657,0,102371,172.607,0,0,0
Philippines,Western Pacific,4022127,3670.458,8088,7.381,1153,64441,58.807,112,0.102,9
Denmark,Europe,3345095,57448.586,3942,67.7,574,7470,128.29,40,0.687,1
Romania,Europe,3293346,17038.51,2359,12.205,441,67249,347.921,25,0.129,3
Sweden,Europe,2622790,25395.956,2934,28.409,0,20928,202.642,14,0.136,0
Iraq,Eastern Mediterranean,2462272,6121.63,465,1.156,0,25361,63.052,0,0,0
Serbia,Europe,2416113,34881.13,4422,63.84,674,17332,250.22,31,0.448,6
Hungary,Europe,2157995,22089.045,4431,45.355,0,48184,493.207,73,0.747,0
Singapore,Western Pacific,2148794,36729.374,14475,247.421,2088,1699,29.041,6,0.103,1
Bangladesh,South-East Asia,2036306,1236.453,197,0.12,0,29430,17.87,4,0.002,0
New Zealand,Western Pacific,1872273,38825.851,0,0,0,2154,44.668,35,0.726,0
Slovakia,Europe,1854840,33984.668,672,12.312,42,20705,379.36,42,0.77,5
Georgia,Europe,1785138,44749.553,0,0,0,16912,423.947,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1677386,33788.02,1036,20.868,0,8141,163.986,41,0.826,0
Pakistan,Eastern Mediterranean,1574679,712.872,171,0.077,0,30629,13.866,0,0,0
Kazakhstan,Europe,1485880,7913.422,422,2.247,89,19053,101.471,0,0,0
Norway,Europe,1467160,27333.733,866,16.134,144,4325,80.576,39,0.727,0
Finland,Europe,1384654,25060.286,6482,117.315,1,7173,129.821,5,0.09,0
Bulgaria,Europe,1284838,18482.936,1782,25.635,220,37988,546.473,44,0.633,10
Lithuania,Europe,1272774,45552.362,1501,53.721,205,9414,336.925,7,0.251,1
Morocco,Eastern Mediterranean,1266639,3431.644,289,0.783,0,16283,44.115,0,0,0
Croatia,Europe,1250968,30825.952,1466,36.125,269,17249,425.044,37,0.912,5
Slovenia,Europe,1246440,59471.501,4970,237.134,806,8527,406.85,3,0.143,0
Lebanon,Eastern Mediterranean,1219677,17869.56,212,3.106,0,10722,157.089,4,0.059,0
Guatemala,Americas,1147070,6402.644,3373,18.827,1015,19934,111.266,21,0.117,10
Tunisia,Eastern Mediterranean,1146702,9702.504,0,0,0,29263,247.601,0,0,0
Costa Rica,Americas,1143597,22449.362,2733,53.65,2733,9031,177.283,12,0.236,12
Cuba,Americas,1111332,9811.686,21,0.185,0,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1110014,9509.226,284,2.433,66,22244,190.559,3,0.026,0
United Arab Emirates,Eastern Mediterranean,1041227,10527.651,843,8.523,0,2348,23.74,0,0,0
Ecuador,Americas,1009388,5721.164,0,0,0,35935,203.678,0,0,0
Nepal,South-East Asia,1000846,3434.988,62,0.213,8,12019,41.25,0,0,0
Puerto Rico,Americas,996449,34830.486,4981,174.109,0,5309,185.574,18,0.629,4
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,992623,23005.252,1372,31.798,0,8515,197.346,6,0.139,0
Uruguay,Americas,992035,28558.207,816,23.491,0,7529,216.741,3,0.086,0
Mongolia,Western Pacific,989320,30177.928,2080,63.448,0,2133,65.064,2,0.061,0
Latvia,Europe,959019,50271.613,2239,117.368,0,6083,318.87,7,0.367,0
Saudi Arabia,Eastern Mediterranean,824640,2368.711,367,1.054,0,9435,27.101,9,0.026,0
Azerbaijan,Europe,823849,8125.405,257,2.535,44,9968,98.312,11,0.108,1
Paraguay,Americas,718049,10067.23,69,0.967,0,19608,274.909,2,0.028,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703036,13781.199,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,693725,40769.581,840,49.366,0,1532,90.034,1,0.059,0
Sri Lanka,South-East Asia,671481,3135.82,97,0.453,16,16788,78.4,4,0.019,3
Kuwait,Eastern Mediterranean,662510,15513.382,151,3.536,0,2569,60.156,0,0,0
Dominican Republic,Americas,647868,5972.284,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,632910,1163.228,323,0.594,0,19486,35.813,0,0,0
Cyprus,Europe,610023,68695.897,3736,420.718,3736,1218,137.161,8,0.901,8
Estonia,Europe,608332,45774.491,240,18.059,0,2757,207.453,0,0,0
Republic of Moldova,Europe,594348,14733.601,278,6.891,0,11906,295.144,6,0.149,0
Venezuela (Bolivarian Republic of),Americas,546534,1921.983,332,1.168,45,5825,20.485,2,0.007,0
Egypt,Eastern Mediterranean,515420,503.662,8,0.008,0,24798,24.232,0,0,0
Libya,Eastern Mediterranean,507060,7379.398,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,494202,429.877,61,0.053,0,7572,6.586,0,0,0
Réunion,Africa,479430,53548.93,575,64.223,575,902,100.747,3,0.335,3
