,license,file_name,coco_url,height,width,date_captured,flickr_url,id
0,2,000000262145.jpg,http://images.cocodataset.org/train2017/000000262145.jpg,427,640,2013-11-20 02:07:55,http://farm8.staticflickr.com/7187/6967031859_5f08387bde_z.jpg,262145
1,1,000000262146.jpg,http://images.cocodataset.org/train2017/000000262146.jpg,640,480,2013-11-19 23:07:16,http://farm6.staticflickr.com/5090/5341741494_1f653cdb80_z.jpg,262146
2,3,000000524291.jpg,http://images.cocodataset.org/train2017/000000524291.jpg,426,640,2013-11-18 09:59:07,http://farm2.staticflickr.com/1045/934293170_d1b2cc58ff_z.jpg,524291
3,1,000000262148.jpg,http://images.cocodataset.org/train2017/000000262148.jpg,512,640,2013-11-20 05:50:03,http://farm5.staticflickr.com/4028/4549977479_547e6b22ae_z.jpg,262148
4,3,000000393223.jpg,http://images.cocodataset.org/train2017/000000393223.jpg,480,640,2013-11-21 20:08:57,http://farm1.staticflickr.com/28/45521803_c5cb1184cd_z.jpg,393223
5,2,000000393224.jpg,http://images.cocodataset.org/train2017/000000393224.jpg,640,427,2013-11-18 02:29:39,http://farm9.staticflickr.com/8503/8356977703_647d20f05c_z.jpg,393224
6,7,000000524297.jpg,http://images.cocodataset.org/train2017/000000524297.jpg,446,640,2013-11-18 11:56:12,http://farm4.staticflickr.com/3007/2552566879_0822a21ede_z.jpg,524297
7,4,000000393227.jpg,http://images.cocodataset.org/train2017/000000393227.jpg,640,427,2013-11-20 07:38:16,http://farm4.staticflickr.com/3636/3692164714_6f181cbaf2_z.jpg,393227
8,1,000000131084.jpg,http://images.cocodataset.org/train2017/000000131084.jpg,426,640,2013-11-15 21:01:40,http://farm8.staticflickr.com/7055/6806786818_1dd81608bd_z.jpg,131084
9,6,000000393230.jpg,http://images.cocodataset.org/train2017/000000393230.jpg,480,640,2013-11-19 18:35:40,http://farm5.staticflickr.com/4144/4960980434_148110f00d_z.jpg,393230
10,4,000000262161.jpg,http://images.cocodataset.org/train2017/000000262161.jpg,428,640,2013-11-15 20:08:14,http://farm8.staticflickr.com/7242/7385720814_d3462055a7_z.jpg,262161
11,1,000000131089.jpg,http://images.cocodataset.org/train2017/000000131089.jpg,427,640,2013-11-22 22:23:05,http://farm5.staticflickr.com/4117/4866736626_297f0b22b9_z.jpg,131089
12,2,000000524311.jpg,http://images.cocodataset.org/train2017/000000524311.jpg,480,640,2013-11-22 00:16:30,http://farm1.staticflickr.com/133/323068202_a112b338b3_z.jpg,524311
13,1,000000393241.jpg,http://images.cocodataset.org/train2017/000000393241.jpg,426,640,2013-11-18 17:01:30,http://farm4.staticflickr.com/3122/2677514420_037dc10b48_z.jpg,393241
14,1,000000524314.jpg,http://images.cocodataset.org/train2017/000000524314.jpg,428,640,2013-11-24 21:29:33,http://farm3.staticflickr.com/2370/2320994673_eaff4665f9_z.jpg,524314
15,1,000000393243.jpg,http://images.cocodataset.org/train2017/000000393243.jpg,640,480,2013-11-20 13:20:35,http://farm3.staticflickr.com/2294/1562760533_6893778f46_z.jpg,393243
16,4,000000262171.jpg,http://images.cocodataset.org/train2017/000000262171.jpg,480,640,2013-11-21 01:28:22,http://farm5.staticflickr.com/4098/4786812742_b416e94f1e_z.jpg,262171
17,4,000000131101.jpg,http://images.cocodataset.org/train2017/000000131101.jpg,640,478,2013-11-18 10:59:38,http://farm6.staticflickr.com/5309/5820324431_4f6a9c6561_z.jpg,131101
18,2,000000524317.jpg,http://images.cocodataset.org/train2017/000000524317.jpg,500,352,2013-11-17 05:27:42,http://farm1.staticflickr.com/25/88767967_85599bb828_z.jpg,524317
19,3,000000262175.jpg,http://images.cocodataset.org/train2017/000000262175.jpg,640,513,2013-11-17 03:06:07,http://farm3.staticflickr.com/2759/4326684448_69394b7fc6_z.jpg,262175
20,3,000000524320.jpg,http://images.cocodataset.org/train2017/000000524320.jpg,640,480,2013-11-14 17:12:57,http://farm5.staticflickr.com/4112/5004009687_ede04560d4_z.jpg,524320
21,6,000000393251.jpg,http://images.cocodataset.org/train2017/000000393251.jpg,640,480,2013-11-20 21:18:14,http://farm9.staticflickr.com/8531/8493863691_c41814406f_z.jpg,393251
22,4,000000131108.jpg,http://images.cocodataset.org/train2017/000000131108.jpg,427,640,2013-11-17 03:52:22,http://farm9.staticflickr.com/8018/7135141171_0c3bed7f2b_z.jpg,131108
